shell,pred.type,mean_res,rsa.group
0,dist_active.res,0.2019415137473,1
0,dist_active.res,0.207308934130357,2
0,dist_active.res,0.184453856002624,3
0,dist_active.res2,0.2019415137473,1
0,dist_active.res2,0.207308934130357,2
0,dist_active.res2,0.184453856002624,3
0,dist_active.res3,0.2019415137473,1
0,dist_active.res3,0.207308934130357,2
0,dist_active.res3,0.184453856002624,3
0,RSA.dist_active.res,0.0304830368105872,1
0,RSA.dist_active.res,-0.025193902332562,2
0,RSA.dist_active.res,-0.224454961435753,3
0,RSA.res,-0.547923152069498,1
0,RSA.res,-0.677582546429399,2
0,RSA.res,-0.954792146695137,3
0,wcnSC.dist_active.res,0.0744165839681099,1
0,wcnSC.dist_active.res,0.0131662228755416,2
0,wcnSC.dist_active.res,-0.210604050925814,3
0,wcnSC.res,-0.151073827309936,1
0,wcnSC.res,-0.282723652480832,2
0,wcnSC.res,-0.643666891862791,3
0,wcnSC.RSA.dist_active.res,0.034734877970603,1
0,wcnSC.RSA.dist_active.res,-0.033577009126071,2
0,wcnSC.RSA.dist_active.res,-0.23267576465183,3
0,wcnSC.RSA.res,-0.23844568524954,1
0,wcnSC.RSA.res,-0.36047623032094,2
0,wcnSC.RSA.res,-0.68917840632834,3
1,dist_active.res,0.0251683141348663,1
1,dist_active.res,0.0458666801130143,2
1,dist_active.res,0.0148078485495247,3
1,dist_active.res2,0.0251683141348663,1
1,dist_active.res2,0.0458666801130143,2
1,dist_active.res2,0.0148078485495247,3
1,dist_active.res3,0.0251683141348663,1
1,dist_active.res3,0.0458666801130143,2
1,dist_active.res3,0.0148078485495247,3
1,RSA.dist_active.res,-0.0255181722790169,1
1,RSA.dist_active.res,-0.012604787623677,2
1,RSA.dist_active.res,-0.0720966750963187,3
1,RSA.res,-0.380206268964454,1
1,RSA.res,-0.416247455437789,2
1,RSA.res,-0.51530590827446,3
1,wcnSC.dist_active.res,0.0414345349284813,1
1,wcnSC.dist_active.res,0.0305636730665733,2
1,wcnSC.dist_active.res,-0.0839971226092117,3
1,wcnSC.res,-0.0823100450428632,1
1,wcnSC.res,-0.134697400380742,2
1,wcnSC.res,-0.32342728395049,3
1,wcnSC.RSA.dist_active.res,0.00408516228273427,1
1,wcnSC.RSA.dist_active.res,0.00385645214956993,2
1,wcnSC.RSA.dist_active.res,-0.0825595084560348,3
1,wcnSC.RSA.res,-0.137981909791685,1
1,wcnSC.RSA.res,-0.175492670446103,2
1,wcnSC.RSA.res,-0.338477679781872,3
2,dist_active.res,-0.0226606246308344,1
2,dist_active.res,-0.000517385697000815,2
2,dist_active.res,-0.0366280487743066,3
2,dist_active.res2,-0.0226606246308344,1
2,dist_active.res2,-0.000517385697000815,2
2,dist_active.res2,-0.0366280487743066,3
2,dist_active.res3,-0.0226606246308344,1
2,dist_active.res3,-0.000517385697000815,2
2,dist_active.res3,-0.0366280487743066,3
2,RSA.dist_active.res,-0.018532144774177,1
2,RSA.dist_active.res,-0.0047730021410404,2
2,RSA.dist_active.res,-0.0580389455716472,3
2,RSA.res,-0.218530528539401,1
2,RSA.res,-0.250823377238649,2
2,RSA.res,-0.337713953145326,3
2,wcnSC.dist_active.res,0.00151649947983541,1
2,wcnSC.dist_active.res,0.013492602251737,2
2,wcnSC.dist_active.res,-0.0474719432448083,3
2,wcnSC.res,-0.0580158809810446,1
2,wcnSC.res,-0.0854606766961389,2
2,wcnSC.res,-0.171537391891602,3
2,wcnSC.RSA.dist_active.res,-0.00926505677653932,1
2,wcnSC.RSA.dist_active.res,0.00343206225783747,2
2,wcnSC.RSA.dist_active.res,-0.0544690757104785,3
2,wcnSC.RSA.res,-0.0826147639088575,1
