shell,pred.type,mean_res,rsa.group
0,dist_active.res,0.2019415137473,1
0,dist_active.res,0.207308934130357,2
0,dist_active.res,0.184453856002624,3
0,dist_active.res2,0.2019415137473,1
0,dist_active.res2,0.207308934130357,2
0,dist_active.res2,0.184453856002624,3
0,dist_active.res3,0.2019415137473,1
0,dist_active.res3,0.207308934130357,2
0,dist_active.res3,0.184453856002624,3
0,RSA.dist_active.res,0.00985927735781162,1
0,RSA.dist_active.res,-0.0544260082611356,2
0,RSA.dist_active.res,-0.281726953547644,3
0,RSA.res,-0.511370372121224,1
0,RSA.res,-0.668923651495664,2
0,RSA.res,-0.990471343502755,3
0,wcnSC.dist_active.res,0.0913608252911855,1
0,wcnSC.dist_active.res,0.0314642119903231,2
0,wcnSC.dist_active.res,-0.178783065242981,3
0,wcnSC.res,-0.151872131670465,1
0,wcnSC.res,-0.284152918145393,2
0,wcnSC.res,-0.635874643963715,3
0,wcnSC.RSA.dist_active.res,0.0102004055088115,1
0,wcnSC.RSA.dist_active.res,-0.053370421120539,2
0,wcnSC.RSA.dist_active.res,-0.278512650040183,3
0,wcnSC.RSA.res,-0.236852987423264,1
0,wcnSC.RSA.res,-0.380092185121651,2
0,wcnSC.RSA.res,-0.753766610447252,3
1,dist_active.res,0.0251683141348663,1
1,dist_active.res,0.0458666801130143,2
1,dist_active.res,0.0148078485495247,3
1,dist_active.res2,0.0251683141348663,1
1,dist_active.res2,0.0458666801130143,2
1,dist_active.res2,0.0148078485495247,3
1,dist_active.res3,0.0251683141348663,1
1,dist_active.res3,0.0458666801130143,2
1,dist_active.res3,0.0148078485495247,3
1,RSA.dist_active.res,-0.0303987760863506,1
1,RSA.dist_active.res,-0.0247389071486214,2
1,RSA.dist_active.res,-0.0864894520475135,3
1,RSA.res,-0.350744394986077,1
1,RSA.res,-0.406228504680105,2
1,RSA.res,-0.521989162645528,3
1,wcnSC.dist_active.res,0.0544057214585015,1
1,wcnSC.dist_active.res,0.0354011623215409,2
1,wcnSC.dist_active.res,-0.0747349100245815,3
1,wcnSC.res,-0.0888486977446806,1
1,wcnSC.res,-0.148469505035223,2
1,wcnSC.res,-0.346427413806921,3
1,wcnSC.RSA.dist_active.res,0.00192873217016501,1
1,wcnSC.RSA.dist_active.res,-0.0058747942260959,2
1,wcnSC.RSA.dist_active.res,-0.0889957185767483,3
1,wcnSC.RSA.res,-0.137501227119278,1
1,wcnSC.RSA.res,-0.190548475510005,2
1,wcnSC.RSA.res,-0.368081407344047,3
2,dist_active.res,-0.0226606246308344,1
2,dist_active.res,-0.000517385697000815,2
2,dist_active.res,-0.0366280487743066,3
2,dist_active.res2,-0.0226606246308344,1
2,dist_active.res2,-0.000517385697000815,2
2,dist_active.res2,-0.0366280487743066,3
2,dist_active.res3,-0.0226606246308344,1
2,dist_active.res3,-0.000517385697000815,2
2,dist_active.res3,-0.0366280487743066,3
2,RSA.dist_active.res,-0.0117212059556385,1
2,RSA.dist_active.res,-0.00456741833916568,2
2,RSA.dist_active.res,-0.0528868384242426,3
2,RSA.res,-0.194552171059338,1
2,RSA.res,-0.236399498558818,2
2,RSA.res,-0.32973131266021,3
2,wcnSC.dist_active.res,0.0133782305419896,1
2,wcnSC.dist_active.res,0.0204230531060509,2
2,wcnSC.dist_active.res,-0.0347366976996777,3
2,wcnSC.res,-0.0741607034593248,1
2,wcnSC.res,-0.0884812354736152,2
2,wcnSC.res,-0.192880121469915,3
2,wcnSC.RSA.dist_active.res,0.00137314444054804,1
2,wcnSC.RSA.dist_active.res,0.00547915126884354,2
2,wcnSC.RSA.dist_active.res,-0.0441558383907828,3
2,wcnSC.RSA.res,-0.0802850543518278,1
