shell,pred.type,mean_pred
0,rate,0.113693457591828
0,wcnSC.RSA.dist_active.pred,0.175592537487783
0,wcnSC.RSA.pred,0.463480754419522
1,rate,0.298857280233319
1,wcnSC.RSA.dist_active.pred,0.306110318643806
1,wcnSC.RSA.pred,0.45962521049845
2,rate,0.517593661657349
2,wcnSC.RSA.dist_active.pred,0.516849482174943
2,wcnSC.RSA.pred,0.604823036060106
3,rate,0.77242980234516
3,wcnSC.RSA.dist_active.pred,0.775564213077274
3,wcnSC.RSA.pred,0.810172872260161
4,rate,1.05828333716908
4,wcnSC.RSA.dist_active.pred,1.0586087133658
4,wcnSC.RSA.pred,1.05032109210343
5,rate,1.31211473419567
5,wcnSC.RSA.dist_active.pred,1.30943330598452
5,wcnSC.RSA.pred,1.2627984226806
6,rate,1.50743480437676
6,wcnSC.RSA.dist_active.pred,1.48894851451904
6,wcnSC.RSA.pred,1.40613116637865
7,rate,1.58054206067017
7,wcnSC.RSA.dist_active.pred,1.55793681332278
7,wcnSC.RSA.pred,1.44911702097345
8,rate,1.58115765398553
8,wcnSC.RSA.dist_active.pred,1.57860222521499
8,wcnSC.RSA.pred,1.44999020923713
9,rate,1.57279706215144
9,wcnSC.RSA.dist_active.pred,1.61413244350438
9,wcnSC.RSA.pred,1.46619727783008
10,rate,1.60378119659009
10,wcnSC.RSA.dist_active.pred,1.63863587569066
10,wcnSC.RSA.pred,1.46622664937026
11,rate,1.5499176419179
11,wcnSC.RSA.dist_active.pred,1.61305505236959
11,wcnSC.RSA.pred,1.45701586383744
12,rate,1.33419183534142
12,wcnSC.RSA.dist_active.pred,1.51074990574316
12,wcnSC.RSA.pred,1.37198627592091
13,rate,1.21627392544354
13,wcnSC.RSA.dist_active.pred,1.31617169274152
13,wcnSC.RSA.pred,1.20477473958197
14,rate,1.23434671962572
14,wcnSC.RSA.dist_active.pred,1.25948638757248
14,wcnSC.RSA.pred,1.14115149105858
15,rate,1.20657951444403
15,wcnSC.RSA.dist_active.pred,1.2253184882802
15,wcnSC.RSA.pred,1.09349945022917
16,rate,1.41367421170395
16,wcnSC.RSA.dist_active.pred,1.34798499629415
16,wcnSC.RSA.pred,1.20639798758128
17,rate,1.61750254378383
17,wcnSC.RSA.dist_active.pred,1.5243334799335
17,wcnSC.RSA.pred,1.36484414008812
18,rate,1.522696388488
18,wcnSC.RSA.dist_active.pred,1.52427877606991
18,wcnSC.RSA.pred,1.32853493573524
19,rate,1.56628443356333
19,wcnSC.RSA.dist_active.pred,1.65315641445823
19,wcnSC.RSA.pred,1.44982097862925
20,rate,1.61194856325039
20,wcnSC.RSA.dist_active.pred,1.68717397652705
20,wcnSC.RSA.pred,1.48232652365528
21,rate,1.86968339780468
21,wcnSC.RSA.dist_active.pred,1.79415995587537
21,wcnSC.RSA.pred,1.57067653354484
22,rate,1.88390879281519
22,wcnSC.RSA.dist_active.pred,1.72264474829824
22,wcnSC.RSA.pred,1.47800647349592
23,rate,1.32499835422148
23,wcnSC.RSA.dist_active.pred,1.48725232521185
23,wcnSC.RSA.pred,1.2371950196665
24,rate,1.81029281237444
24,wcnSC.RSA.dist_active.pred,1.51743850327384
24,wcnSC.RSA.pred,1.23645616276252
