shell,pred.type,mean_pred
0,rate,0.115514824465611
0,wcnSC.RSA.dist_active.pred,0.177572322845475
0,wcnSC.RSA.pred,0.502800964196489
1,rate,0.298941560906237
1,wcnSC.RSA.dist_active.pred,0.309302380025733
1,wcnSC.RSA.pred,0.49153177236758
2,rate,0.516858171926432
2,wcnSC.RSA.dist_active.pred,0.516187409666237
2,wcnSC.RSA.pred,0.623986683322583
3,rate,0.769080956550782
3,wcnSC.RSA.dist_active.pred,0.771392302688647
3,wcnSC.RSA.pred,0.813111452904628
4,rate,1.04772142234327
4,wcnSC.RSA.dist_active.pred,1.04754224718829
4,wcnSC.RSA.pred,1.03695539685638
5,rate,1.29444359743122
5,wcnSC.RSA.dist_active.pred,1.29282585430875
5,wcnSC.RSA.pred,1.2388594903704
6,rate,1.47821974622547
6,wcnSC.RSA.dist_active.pred,1.46198611682271
6,wcnSC.RSA.pred,1.3667759817685
7,rate,1.55182314641078
7,wcnSC.RSA.dist_active.pred,1.52835509372824
7,wcnSC.RSA.pred,1.40270661640053
8,rate,1.5541642180007
8,wcnSC.RSA.dist_active.pred,1.54701515685344
8,wcnSC.RSA.pred,1.39712529145663
9,rate,1.55788845927847
9,wcnSC.RSA.dist_active.pred,1.57669893297223
9,wcnSC.RSA.pred,1.39585199041495
10,rate,1.57577171468051
10,wcnSC.RSA.dist_active.pred,1.60091178170399
10,wcnSC.RSA.pred,1.39841733467159
11,rate,1.49894077399966
11,wcnSC.RSA.dist_active.pred,1.57154797250629
11,wcnSC.RSA.pred,1.38493265518001
12,rate,1.32541528499594
12,wcnSC.RSA.dist_active.pred,1.51524263499086
12,wcnSC.RSA.pred,1.32454346253267
13,rate,1.23841000156754
13,wcnSC.RSA.dist_active.pred,1.34400663057421
13,wcnSC.RSA.pred,1.18651495968987
14,rate,1.2072682031027
14,wcnSC.RSA.dist_active.pred,1.2826026804092
14,wcnSC.RSA.pred,1.13800817591887
15,rate,1.22171873575143
15,wcnSC.RSA.dist_active.pred,1.26463534682959
15,wcnSC.RSA.pred,1.13842797087996
16,rate,1.3773720531145
16,wcnSC.RSA.dist_active.pred,1.35680776103147
16,wcnSC.RSA.pred,1.22639081640855
17,rate,1.59731099361525
17,wcnSC.RSA.dist_active.pred,1.53778324450139
17,wcnSC.RSA.pred,1.38994652091554
18,rate,1.48731795150533
18,wcnSC.RSA.dist_active.pred,1.52157223130096
18,wcnSC.RSA.pred,1.35400846309192
19,rate,1.624117741255
19,wcnSC.RSA.dist_active.pred,1.67055609046212
19,wcnSC.RSA.pred,1.49099961837564
20,rate,1.61942642683167
20,wcnSC.RSA.dist_active.pred,1.65451069022934
20,wcnSC.RSA.pred,1.4476010914588
21,rate,1.86075295620533
21,wcnSC.RSA.dist_active.pred,1.73039431974937
21,wcnSC.RSA.pred,1.4839991562831
22,rate,1.73395522067382
22,wcnSC.RSA.dist_active.pred,1.55736937882115
22,wcnSC.RSA.pred,1.26980813647602
23,rate,1.32375385379714
23,wcnSC.RSA.dist_active.pred,1.31572376600104
23,wcnSC.RSA.pred,1.00846910189763
24,rate,1.55089541701758
24,wcnSC.RSA.dist_active.pred,1.27132142454638
24,wcnSC.RSA.pred,0.932307397969194
25,rate,1.97496146608221
25,wcnSC.RSA.dist_active.pred,1.31762729141154
25,wcnSC.RSA.pred,0.968504698492746
