shell,pred.type,mean_pred
0,dist_active.pred,-0.0886488582515857
0,dist_active.pred2,-0.0886488582515857
0,dist_active.pred3,-0.0886488582515857
0,rate1,0.115514824465611
0,rate2,0.115514824465611
0,rate3,0.115514824465611
0,RSA.dist_active.pred,0.178691112684191
0,RSA.pred,0.784062093746937
0,wcnSC.dist_active.pred,0.0920612001601105
0,wcnSC.pred,0.406926059513734
0,wcnSC.RSA.dist_active.pred,0.177572322845475
0,wcnSC.RSA.pred,0.502800964196489
1,dist_active.pred,0.259645104794786
1,dist_active.pred2,0.259645104794786
1,dist_active.pred3,0.259645104794786
1,rate1,0.298941560906237
1,rate2,0.298941560906237
1,rate3,0.298941560906237
1,RSA.dist_active.pred,0.329387591519271
1,RSA.pred,0.702171042213648
1,wcnSC.dist_active.pred,0.267688669453944
1,wcnSC.pred,0.449590185640388
1,wcnSC.RSA.dist_active.pred,0.309302380025733
1,wcnSC.RSA.pred,0.49153177236758
2,dist_active.pred,0.524722864071886
2,dist_active.pred2,0.524722864071886
2,dist_active.pred3,0.524722864071886
2,rate1,0.516858171926432
2,rate2,0.516858171926432
2,rate3,0.516858171926432
2,RSA.dist_active.pred,0.526740802262816
2,RSA.pred,0.752339293366826
2,wcnSC.dist_active.pred,0.502277392838478
2,wcnSC.pred,0.610840251526066
2,wcnSC.RSA.dist_active.pred,0.516187409666237
2,wcnSC.RSA.pred,0.623986683322583
3,dist_active.pred,0.804453909892015
3,dist_active.pred2,0.804453909892015
3,dist_active.pred3,0.804453909892015
3,rate1,0.769080956550782
3,rate2,0.769080956550782
3,rate3,0.769080956550782
3,RSA.dist_active.pred,0.765782775078791
3,RSA.pred,0.848263552923295
3,wcnSC.dist_active.pred,0.788128697346403
3,wcnSC.pred,0.827525676253632
3,wcnSC.RSA.dist_active.pred,0.771392302688647
3,wcnSC.RSA.pred,0.813111452904628
4,dist_active.pred,1.05855353408462
4,dist_active.pred2,1.05855353408462
4,dist_active.pred3,1.05855353408462
4,rate1,1.04772142234327
4,rate2,1.04772142234327
4,rate3,1.04772142234327
4,RSA.dist_active.pred,1.03566381524343
4,RSA.pred,1.00628358238394
4,wcnSC.dist_active.pred,1.06766736103231
4,wcnSC.pred,1.05325986673256
4,wcnSC.RSA.dist_active.pred,1.04754224718829
4,wcnSC.RSA.pred,1.03695539685638
5,dist_active.pred,1.27065110071197
5,dist_active.pred2,1.27065110071197
5,dist_active.pred3,1.27065110071197
5,rate1,1.29444359743122
5,rate2,1.29444359743122
5,rate3,1.29444359743122
5,RSA.dist_active.pred,1.28630558082057
5,RSA.pred,1.16928754761062
5,wcnSC.dist_active.pred,1.29671731175953
5,wcnSC.pred,1.24103549110792
5,wcnSC.RSA.dist_active.pred,1.29282585430875
5,wcnSC.RSA.pred,1.2388594903704
6,dist_active.pred,1.43087895285759
6,dist_active.pred2,1.43087895285759
6,dist_active.pred3,1.43087895285759
6,rate1,1.47821974622547
6,rate2,1.47821974622547
6,rate3,1.47821974622547
6,RSA.dist_active.pred,1.4708165913763
6,RSA.pred,1.27848725356172
6,wcnSC.dist_active.pred,1.4442793261498
6,wcnSC.pred,1.3526569606094
6,wcnSC.RSA.dist_active.pred,1.46198611682271
6,wcnSC.RSA.pred,1.3667759817685
7,dist_active.pred,1.52285194289438
7,dist_active.pred2,1.52285194289438
7,dist_active.pred3,1.52285194289438
7,rate1,1.55182314641078
7,rate2,1.55182314641078
7,rate3,1.55182314641078
7,RSA.dist_active.pred,1.54573112975308
7,RSA.pred,1.29869032770132
7,wcnSC.dist_active.pred,1.50467748985962
7,wcnSC.pred,1.38784855629104
7,wcnSC.RSA.dist_active.pred,1.52835509372824
7,wcnSC.RSA.pred,1.40270661640053
8,dist_active.pred,1.57024853324188
8,dist_active.pred2,1.57024853324188
8,dist_active.pred3,1.57024853324188
