shell,pred.type,mean_pred
0,rate,0.113693457591828
0,wcnSC.RSA.dist_active.pred,0.167350168481014
0,wcnSC.RSA.pred,0.469659365444824
1,rate,0.298857280233319
1,wcnSC.RSA.dist_active.pred,0.302750304253822
1,wcnSC.RSA.pred,0.467380134203316
2,rate,0.517593661657349
2,wcnSC.RSA.dist_active.pred,0.514757438291342
2,wcnSC.RSA.pred,0.609349414271584
3,rate,0.77242980234516
3,wcnSC.RSA.dist_active.pred,0.775242952380558
3,wcnSC.RSA.pred,0.811216684822145
4,rate,1.05828333716908
4,wcnSC.RSA.dist_active.pred,1.06096123544963
4,wcnSC.RSA.pred,1.05196194363414
5,rate,1.31211473419567
5,wcnSC.RSA.dist_active.pred,1.31307272212216
5,wcnSC.RSA.pred,1.26372481142996
6,rate,1.50743480437676
6,wcnSC.RSA.dist_active.pred,1.48881407503595
6,wcnSC.RSA.pred,1.4012854051815
7,rate,1.58054206067017
7,wcnSC.RSA.dist_active.pred,1.55589752879651
7,wcnSC.RSA.pred,1.44197074373726
8,rate,1.58115765398553
8,wcnSC.RSA.dist_active.pred,1.57120841665352
8,wcnSC.RSA.pred,1.43459851260922
9,rate,1.57279706215144
9,wcnSC.RSA.dist_active.pred,1.60347468276852
9,wcnSC.RSA.pred,1.44234334760652
10,rate,1.60378119659009
10,wcnSC.RSA.dist_active.pred,1.62783568371328
10,wcnSC.RSA.pred,1.44206217916824
11,rate,1.5499176419179
11,wcnSC.RSA.dist_active.pred,1.60040789005681
11,wcnSC.RSA.pred,1.42553987208381
12,rate,1.33419183534142
12,wcnSC.RSA.dist_active.pred,1.50462036711062
12,wcnSC.RSA.pred,1.34140211984026
13,rate,1.21627392544354
13,wcnSC.RSA.dist_active.pred,1.32358851694994
13,wcnSC.RSA.pred,1.17698484698893
14,rate,1.23434671962572
14,wcnSC.RSA.dist_active.pred,1.2760123375153
14,wcnSC.RSA.pred,1.13332887739231
15,rate,1.20657951444403
15,wcnSC.RSA.dist_active.pred,1.24288308960866
15,wcnSC.RSA.pred,1.12428074718223
16,rate,1.41367421170395
16,wcnSC.RSA.dist_active.pred,1.37877257195128
16,wcnSC.RSA.pred,1.25358116428109
17,rate,1.61750254378383
17,wcnSC.RSA.dist_active.pred,1.53631352478069
17,wcnSC.RSA.pred,1.39675954313219
18,rate,1.522696388488
18,wcnSC.RSA.dist_active.pred,1.53368438325915
18,wcnSC.RSA.pred,1.36447718464448
19,rate,1.56628443356333
19,wcnSC.RSA.dist_active.pred,1.65477661418371
19,wcnSC.RSA.pred,1.47573593428129
20,rate,1.61194856325039
20,wcnSC.RSA.dist_active.pred,1.68046357403097
20,wcnSC.RSA.pred,1.4639672230215
21,rate,1.86968339780468
21,wcnSC.RSA.dist_active.pred,1.76156530679537
21,wcnSC.RSA.pred,1.48832519518085
22,rate,1.88390879281519
22,wcnSC.RSA.dist_active.pred,1.62820084956839
22,wcnSC.RSA.pred,1.29091012985206
23,rate,1.32499835422148
23,wcnSC.RSA.dist_active.pred,1.33378419054041
23,wcnSC.RSA.pred,0.951007637402601
24,rate,1.81029281237444
24,wcnSC.RSA.dist_active.pred,1.31191648641467
24,wcnSC.RSA.pred,0.911503842374208
