pdb,near_active,ref_to_active
132L,TRUE,6.28650707154
13PK,TRUE,0
1A16,TRUE,4.87246979372
1A26,FALSE,8.43253980454
1A2T,TRUE,4.32637545082
1A4L,FALSE,7.6534149012
1A4S,TRUE,7.43816721298
1A50,TRUE,0
1A65,FALSE,14.2973820286
1A69,FALSE,10.9687760948
1A6D,FALSE,20.677404497
1A8H,FALSE,10.6450270848
1A8S,TRUE,4.81931318771
1ABR,TRUE,4.96809526117
1AFR,FALSE,8.10487497181
1AFW,TRUE,4.56055226698
1AGM,FALSE,8.42632375745
1AGY,FALSE,8.47089274101
1AH7,TRUE,6.36872924883
1AJ0,TRUE,0
1AJ8,TRUE,0
1AK0,FALSE,8.33306609859
1AKO,TRUE,0
1ALD,TRUE,0
1ALK,TRUE,4.31337099468
1AMP,FALSE,8.20528898343
1AMY,TRUE,0
1APX,FALSE,9.4495490674
1AQ0,TRUE,5.16409206802
1AQ2,TRUE,7.07558686103
1AQL,FALSE,8.27425675051
1ARZ,TRUE,0
1AST,TRUE,5.46728071419
1ASY,FALSE,9.20009576504
1AT1,TRUE,6.99487406409
1AUG,TRUE,0
1AUK,TRUE,5.52514846149
1AUO,TRUE,4.62931349074
1AVQ,TRUE,6.85785458556
1AX4,FALSE,11.4424689112
1AZY,FALSE,7.84580571794
1B04,FALSE,15.7567788264
1B2M,TRUE,0
1B2R,TRUE,6.82887221018
1B3R,TRUE,5.133783601
1B5D,TRUE,0
1B5T,TRUE,4.89364964272
1B65,TRUE,7.34848236355
1B6T,FALSE,10.376575791
1B73,TRUE,0
1B7Y,FALSE,13.3214808442
1B8F,FALSE,22.9230460327
1B93,TRUE,5.51545520918
1B9H,FALSE,7.61704688396
1BBS,TRUE,0
1BD3,FALSE,17.3538414899
1BF2,TRUE,0
1BFD,FALSE,16.987905793
1BG0,TRUE,0
1BH2,TRUE,6.98373060401
1BHG,FALSE,13.8662263136
1BJO,TRUE,4.6193972721
1BOL,TRUE,4.61749241754
1BOU,FALSE,9.95737951115
1BP2,TRUE,4.01183074275
1BQC,TRUE,5.4926444528
1BS0,FALSE,7.72797340015
1BS4,TRUE,4.14782894762
1BS9,TRUE,5.70572976021
1BT1,FALSE,14.1148453167
1BU7,TRUE,0
1BVV,TRUE,6.88181654079
1BVZ,FALSE,7.50207586705
1BWD,TRUE,3.76708818464
1BWL,TRUE,6.75014512146
1BWP,TRUE,4.75306102545
1BWZ,TRUE,4.31963187822
1BXR,FALSE,10.303488479
1BYA,TRUE,6.66633245302
1BZC,TRUE,0
1BZY,TRUE,3.85038964801
1C0K,FALSE,9.28539539439
1C2T,TRUE,7.28462626341
1C4Z,TRUE,5.19085458817
1C82,TRUE,6.19194301548
