shell,pred.type,mean_res,rsa.group
0,dist_active.res,0.227018065760666,1
0,dist_active.res,0.224873758341166,2
0,dist_active.res,0.237071880876153,3
0,dist_active.res2,0.227018065760666,1
0,dist_active.res2,0.224873758341166,2
0,dist_active.res2,0.237071880876153,3
0,dist_active.res3,0.227018065760666,1
0,dist_active.res3,0.224873758341166,2
0,dist_active.res3,0.237071880876153,3
0,RSA.dist_active.res,0.00610223151532082,1
0,RSA.dist_active.res,-0.0441732775625832,2
0,RSA.dist_active.res,-0.234411260715254,3
0,RSA.res,-0.508253728002134,1
0,RSA.res,-0.666454835097633,2
0,RSA.res,-0.985353194778641,3
0,wcnSC.dist_active.res,0.0978635212515552,1
0,wcnSC.dist_active.res,0.0354745450017456,2
0,wcnSC.dist_active.res,-0.145367719298959,3
0,wcnSC.res,-0.106462400541833,1
0,wcnSC.res,-0.245049192076324,2
0,wcnSC.res,-0.614502240158442,3
0,wcnSC.RSA.dist_active.res,0.0100311879586798,1
0,wcnSC.RSA.dist_active.res,-0.0472389771224407,2
0,wcnSC.RSA.dist_active.res,-0.24174365971362,3
0,wcnSC.RSA.res,-0.209113476753436,1
0,wcnSC.RSA.res,-0.348211898411153,2
0,wcnSC.RSA.res,-0.732413009171207,3
1,dist_active.res,0.0404491304790709,1
1,dist_active.res,0.0586374336191964,2
1,dist_active.res,0.0325069463673504,3
1,dist_active.res2,0.0404491304790709,1
1,dist_active.res2,0.0586374336191964,2
1,dist_active.res2,0.0325069463673504,3
1,dist_active.res3,0.0404491304790709,1
1,dist_active.res3,0.0586374336191964,2
1,dist_active.res3,0.0325069463673504,3
1,RSA.dist_active.res,-0.0288655616449219,1
1,RSA.dist_active.res,-0.0184244718930222,2
1,RSA.dist_active.res,-0.0726210103477438,3
1,RSA.res,-0.341694152043568,1
1,RSA.res,-0.402720727813465,2
1,RSA.res,-0.526851678855039,3
1,wcnSC.dist_active.res,0.0652765957650979,1
1,wcnSC.dist_active.res,0.0461598010144973,2
1,wcnSC.dist_active.res,-0.0570269229687209,3
1,wcnSC.res,-0.0512750138682813,1
1,wcnSC.res,-0.114142228827551,2
1,wcnSC.res,-0.326697139558184,3
1,wcnSC.RSA.dist_active.res,0.00492243897715456,1
1,wcnSC.RSA.dist_active.res,0.000918770962660364,2
1,wcnSC.RSA.dist_active.res,-0.076534568764098,3
1,wcnSC.RSA.res,-0.1147306212529,1
1,wcnSC.RSA.res,-0.165136873514209,2
1,wcnSC.RSA.res,-0.353317126867384,3
2,dist_active.res,-0.0122322083059637,1
2,dist_active.res,0.0010569568223062,2
2,dist_active.res,-0.0252419614777531,3
2,dist_active.res2,-0.0122322083059637,1
2,dist_active.res2,0.0010569568223062,2
2,dist_active.res2,-0.0252419614777531,3
2,dist_active.res3,-0.0122322083059637,1
2,dist_active.res3,0.0010569568223062,2
2,dist_active.res3,-0.0252419614777531,3
2,RSA.dist_active.res,-0.00691897380596325,1
2,RSA.dist_active.res,-0.00409453729161366,2
2,RSA.dist_active.res,-0.0459913715082128,3
2,RSA.res,-0.181578994660757,1
2,RSA.res,-0.233304240131374,2
2,RSA.res,-0.335009278840577,3
2,wcnSC.dist_active.res,0.0225206250308312,1
2,wcnSC.dist_active.res,0.0228508539182392,2
