shell,pred.type,mean_pred
0,dist_active.pred,-0.0886488582515857
0,dist_active.pred2,-0.0886488582515857
0,dist_active.pred3,-0.0886488582515857
0,rate1,0.115514824465611
0,rate2,0.115514824465611
0,rate3,0.115514824465611
0,RSA.dist_active.pred,0.148509411005154
0,RSA.pred,0.793954089726567
0,wcnSC.dist_active.pred,0.111352881473644
0,wcnSC.pred,0.406471979172704
0,wcnSC.RSA.dist_active.pred,0.154458188334668
0,wcnSC.RSA.pred,0.483079292852626
1,dist_active.pred,0.259645104794786
1,dist_active.pred2,0.259645104794786
1,dist_active.pred3,0.259645104794786
1,rate1,0.298941560906237
1,rate2,0.298941560906237
1,rate3,0.298941560906237
1,RSA.dist_active.pred,0.318590898053582
1,RSA.pred,0.714993100585811
1,wcnSC.dist_active.pred,0.274536737765646
1,wcnSC.pred,0.436639612089367
1,wcnSC.RSA.dist_active.pred,0.301382937076143
1,wcnSC.RSA.pred,0.478627658310344
2,dist_active.pred,0.524722864071886
2,dist_active.pred2,0.524722864071886
2,dist_active.pred3,0.524722864071886
2,rate1,0.516858171926432
2,rate2,0.516858171926432
2,rate3,0.516858171926432
2,RSA.dist_active.pred,0.528670596440797
2,RSA.pred,0.768166058744108
2,wcnSC.dist_active.pred,0.510664555129601
2,wcnSC.pred,0.603712179845546
2,wcnSC.RSA.dist_active.pred,0.520624123955802
2,wcnSC.RSA.pred,0.624773731622486
3,dist_active.pred,0.804453909892015
3,dist_active.pred2,0.804453909892015
3,dist_active.pred3,0.804453909892015
3,rate1,0.769080956550782
3,rate2,0.769080956550782
3,rate3,0.769080956550782
3,RSA.dist_active.pred,0.773219716667699
3,RSA.pred,0.860824536946715
3,wcnSC.dist_active.pred,0.789690303502749
3,wcnSC.pred,0.820912866404764
3,wcnSC.RSA.dist_active.pred,0.778905528539179
3,wcnSC.RSA.pred,0.820335722021239
4,dist_active.pred,1.05855353408462
4,dist_active.pred2,1.05855353408462
4,dist_active.pred3,1.05855353408462
4,rate1,1.04772142234327
4,rate2,1.04772142234327
4,rate3,1.04772142234327
4,RSA.dist_active.pred,1.03850654834892
4,RSA.pred,1.00804052119138
4,wcnSC.dist_active.pred,1.06146605414054
4,wcnSC.pred,1.04747471164607
4,wcnSC.RSA.dist_active.pred,1.04805590031148
4,wcnSC.RSA.pred,1.03911631801762
5,dist_active.pred,1.27065110071197
5,dist_active.pred2,1.27065110071197
5,dist_active.pred3,1.27065110071197
5,rate1,1.29444359743122
5,rate2,1.29444359743122
5,rate3,1.29444359743122
5,RSA.dist_active.pred,1.27886990718658
5,RSA.pred,1.15321084121224
5,wcnSC.dist_active.pred,1.28409725196602
5,wcnSC.pred,1.23454025089024
5,wcnSC.RSA.dist_active.pred,1.28182625725622
5,wcnSC.RSA.pred,1.22726648818082
6,dist_active.pred,1.43087895285759
6,dist_active.pred2,1.43087895285759
6,dist_active.pred3,1.43087895285759
6,rate1,1.47821974622547
6,rate2,1.47821974622547
6,rate3,1.47821974622547
6,RSA.dist_active.pred,1.45934379485361
6,RSA.pred,1.25232480612576
6,wcnSC.dist_active.pred,1.439638068524
6,wcnSC.pred,1.36002493182921
6,wcnSC.RSA.dist_active.pred,1.45100490838433
6,wcnSC.RSA.pred,1.35406855718334
7,dist_active.pred,1.52285194289438
7,dist_active.pred2,1.52285194289438
7,dist_active.pred3,1.52285194289438
7,rate1,1.55182314641078
7,rate2,1.55182314641078
7,rate3,1.55182314641078
7,RSA.dist_active.pred,1.54276463609835
7,RSA.pred,1.27846051702033
7,wcnSC.dist_active.pred,1.51313075857817
7,wcnSC.pred,1.41440877245582
7,wcnSC.RSA.dist_active.pred,1.52834865330365
7,wcnSC.RSA.pred,1.40183230006146
8,dist_active.pred,1.57024853324188
8,dist_active.pred2,1.57024853324188
8,dist_active.pred3,1.57024853324188
