pdb,Chain,formula,term,estimate,std.error,statistic,p.value
132L,A,rate~RSA,(Intercept),0.579824752585747,0.0860966344029525,6.73458093462783,5.73415057002677e-10
132L,A,rate~RSA,RSA,1.8185391326191,0.229050017115034,7.93948481438355,1.12349579902382e-12
132L,A,rate~wcnSC,(Intercept),3.12469542037687,0.236308570499071,13.2229458025059,2.59368283516634e-25
132L,A,rate~wcnSC,wcnSC,-2.91200647321098,0.329631330903249,-8.83413134677326,9.04742773372614e-15
132L,A,rate~wcnSC+RSA,(Intercept),2.83989604061691,0.719395462097331,3.94761461566278,0.000132990424480961
132L,A,rate~wcnSC+RSA,wcnSC,-2.5968850256774,0.821074031565026,-3.16279035244551,0.00197584133835469
132L,A,rate~wcnSC+RSA,RSA,0.230088306305762,0.548720436555039,0.419317909408106,0.675727304624862
132L,A,rate~dist_active,(Intercept),0.266996819144998,0.181885799132463,1.46793658668509,0.144694912875905
132L,A,rate~dist_active,dist_active,0.0622879378892742,0.0128282828711385,4.85551640191937,3.59820325161616e-06
132L,A,rate~wcnSC+RSA+dist_active,(Intercept),2.50785647741048,0.826635488532178,3.03381177338948,0.00296080733463553
132L,A,rate~wcnSC+RSA+dist_active,wcnSC,-2.34805881186542,0.876537146162362,-2.67878985179994,0.00842558179892747
132L,A,rate~wcnSC+RSA+dist_active,RSA,0.273052618994426,0.551967489547545,0.494689676774715,0.621723674812321
132L,A,rate~wcnSC+RSA+dist_active,dist_active,0.0110276092894376,0.013465465609179,0.81895491841889,0.414435578223291
132L,A,rate~wcnSC+dist_active,(Intercept),2.86184637502193,0.412556449323471,6.93686010657429,2.12240327713059e-10
132L,A,rate~wcnSC+dist_active,wcnSC,-2.73293024013287,0.402500652457875,-6.7898777888786,4.45153827273265e-10
132L,A,rate~wcnSC+dist_active,dist_active,0.010394485551637,0.0133626047442012,0.777878695854398,0.438158876450445
132L,A,rate~RSA+dist_active,(Intercept),0.333398538423346,0.160201836793749,2.08111557954593,0.0395325410523534
132L,A,rate~RSA+dist_active,RSA,1.58544784635992,0.260662882680655,6.08236903564935,1.42751240926841e-08
132L,A,rate~RSA+dist_active,dist_active,0.0235309432254788,0.0129489605868124,1.81720710845652,0.0716600835711202
132L,A,rate~RSA_mono,(Intercept),0.579824752585747,0.0860966344029525,6.73458093462783,5.73415057002677e-10
132L,A,rate~RSA_mono,RSA_mono,1.8185391326191,0.229050017115034,7.93948481438355,1.12349579902382e-12
132L,A,rate~wcnSC_mono,(Intercept),3.12469542037687,0.236308570499071,13.2229458025059,2.59368283516634e-25
132L,A,rate~wcnSC_mono,wcnSC_mono,-2.91200647321098,0.329631330903249,-8.83413134677326,9.04742773372614e-15
132L,A,rate~wcnSC_mono+RSA_mono,(Intercept),2.83989604061691,0.719395462097331,3.94761461566278,0.000132990424480961
132L,A,rate~wcnSC_mono+RSA_mono,wcnSC_mono,-2.5968850256774,0.821074031565026,-3.16279035244551,0.00197584133835469
132L,A,rate~wcnSC_mono+RSA_mono,RSA_mono,0.230088306305762,0.548720436555039,0.419317909408106,0.675727304624862
132L,A,rate~wcnSC_mono+RSA_mono+dist_active,(Intercept),2.50785647741048,0.826635488532178,3.03381177338948,0.00296080733463553
132L,A,rate~wcnSC_mono+RSA_mono+dist_active,wcnSC_mono,-2.34805881186542,0.876537146162362,-2.67878985179994,0.00842558179892747
132L,A,rate~wcnSC_mono+RSA_mono+dist_active,RSA_mono,0.273052618994426,0.551967489547545,0.494689676774715,0.621723674812321
132L,A,rate~wcnSC_mono+RSA_mono+dist_active,dist_active,0.0110276092894376,0.013465465609179,0.81895491841889,0.414435578223291
132L,A,rate~wcnSC_mono+dist_active,(Intercept),2.86184637502193,0.412556449323471,6.93686010657429,2.12240327713059e-10
132L,A,rate~wcnSC_mono+dist_active,wcnSC_mono,-2.73293024013287,0.402500652457875,-6.7898777888786,4.45153827273265e-10
132L,A,rate~wcnSC_mono+dist_active,dist_active,0.010394485551637,0.0133626047442012,0.777878695854398,0.438158876450445
132L,A,rate~RSA_mono+dist_active,(Intercept),0.333398538423346,0.160201836793749,2.08111557954593,0.0395325410523534
132L,A,rate~RSA_mono+dist_active,RSA_mono,1.58544784635992,0.260662882680655,6.08236903564935,1.42751240926841e-08
132L,A,rate~RSA_mono+dist_active,dist_active,0.0235309432254788,0.0129489605868124,1.81720710845652,0.0716600835711202
13PK,A,rate~RSA,(Intercept),0.395136017468677,0.0489065312765842,8.07941203668767,7.23875124457063e-15
13PK,A,rate~RSA,RSA,2.35114789639328,0.163144288512295,14.4114631154623,1.96963609140863e-38
13PK,A,rate~wcnSC,(Intercept),3.37103551874021,0.134787357725551,25.0100274656632,1.02027968785562e-84
13PK,A,rate~wcnSC,wcnSC,-2.13589881132678,0.112321051225857,-19.016015146011,2.27037495270812e-58
13PK,A,rate~wcnSC+RSA,(Intercept),3.07167737875589,0.26570465635366,11.5604951035085,5.77899344156438e-27
13PK,A,rate~wcnSC+RSA,wcnSC,-1.9361901108515,0.189586366451445,-10.212707522655,5.60507724498439e-22
13PK,A,rate~wcnSC+RSA,RSA,0.322166906784655,0.246498376984768,1.30697374451501,0.191950623586598
13PK,A,rate~dist_active,(Intercept),-0.582786684994573,0.0948610792461516,-6.14358058780167,1.89974806339141e-09
13PK,A,rate~dist_active,dist_active,0.0821276695382127,0.00497658515858163,16.5028160718986,2.35082795168372e-47
13PK,A,rate~wcnSC+RSA+dist_active,(Intercept),0.48503595381423,0.503726939739829,0.962894607274226,0.336166586446827
13PK,A,rate~wcnSC+RSA+dist_active,wcnSC,-0.582175929455709,0.291281449901455,-1.99867148990322,0.0463020924389208
13PK,A,rate~wcnSC+RSA+dist_active,RSA,1.06889596704904,0.26793067239256,3.98944979872608,7.84056521264081e-05
13PK,A,rate~wcnSC+RSA+dist_active,dist_active,0.0479177635833208,0.00804495621006205,5.95624914942219,5.54691066738379e-09
13PK,A,rate~wcnSC+dist_active,(Intercept),2.07146545153056,0.314756676681143,6.58116445176798,1.42174595235205e-10
13PK,A,rate~wcnSC+dist_active,wcnSC,-1.52405964482046,0.17366162252244,-8.7760302056577,4.54914704034367e-17
13PK,A,rate~wcnSC+dist_active,dist_active,0.0329000280487457,0.00723747178781283,4.54579016171725,7.20380883895909e-06
13PK,A,rate~RSA+dist_active,(Intercept),-0.506965546633944,0.0863173774369125,-5.873273281553,8.81167618873985e-09
13PK,A,rate~RSA+dist_active,RSA,1.50294151656881,0.15749387231103,9.54285709351721,1.24394287279775e-19
13PK,A,rate~RSA+dist_active,dist_active,0.0604665761143858,0.0050482369312631,11.9777611347684,1.42718995860304e-28
13PK,A,rate~RSA_mono,(Intercept),0.395136017468677,0.0489065312765842,8.07941203668767,7.23875124457063e-15
13PK,A,rate~RSA_mono,RSA_mono,2.35114789639328,0.163144288512295,14.4114631154623,1.96963609140863e-38
13PK,A,rate~wcnSC_mono,(Intercept),3.37103551874021,0.134787357725551,25.0100274656632,1.02027968785562e-84
13PK,A,rate~wcnSC_mono,wcnSC_mono,-2.13589881132678,0.112321051225857,-19.016015146011,2.27037495270812e-58
13PK,A,rate~wcnSC_mono+RSA_mono,(Intercept),3.07167737875589,0.26570465635366,11.5604951035085,5.77899344156438e-27
13PK,A,rate~wcnSC_mono+RSA_mono,wcnSC_mono,-1.9361901108515,0.189586366451445,-10.212707522655,5.60507724498439e-22
13PK,A,rate~wcnSC_mono+RSA_mono,RSA_mono,0.322166906784655,0.246498376984768,1.30697374451501,0.191950623586598
13PK,A,rate~wcnSC_mono+RSA_mono+dist_active,(Intercept),0.48503595381423,0.503726939739829,0.962894607274226,0.336166586446827
13PK,A,rate~wcnSC_mono+RSA_mono+dist_active,wcnSC_mono,-0.582175929455709,0.291281449901455,-1.99867148990322,0.0463020924389208
13PK,A,rate~wcnSC_mono+RSA_mono+dist_active,RSA_mono,1.06889596704904,0.26793067239256,3.98944979872608,7.84056521264081e-05
13PK,A,rate~wcnSC_mono+RSA_mono+dist_active,dist_active,0.0479177635833208,0.00804495621006205,5.95624914942219,5.54691066738379e-09
13PK,A,rate~wcnSC_mono+dist_active,(Intercept),2.07146545153056,0.314756676681143,6.58116445176798,1.42174595235205e-10
13PK,A,rate~wcnSC_mono+dist_active,wcnSC_mono,-1.52405964482046,0.17366162252244,-8.7760302056577,4.54914704034367e-17
13PK,A,rate~wcnSC_mono+dist_active,dist_active,0.0329000280487457,0.00723747178781283,4.54579016171725,7.20380883895909e-06
13PK,A,rate~RSA_mono+dist_active,(Intercept),-0.506965546633944,0.0863173774369125,-5.873273281553,8.81167618873985e-09
13PK,A,rate~RSA_mono+dist_active,RSA_mono,1.50294151656881,0.15749387231103,9.54285709351721,1.24394287279775e-19
13PK,A,rate~RSA_mono+dist_active,dist_active,0.0604665761143858,0.0050482369312631,11.9777611347684,1.42718995860304e-28
1A16,A,rate~RSA,(Intercept),0.474637423173524,0.0485203802262727,9.78222802377212,1.44543046607415e-20
1A16,A,rate~RSA,RSA,3.13098264440441,0.172934814920635,18.1049873956341,4.52134282104316e-55
1A16,A,rate~wcnSC,(Intercept),3.60655949243048,0.209239157334569,17.2365418517896,3.58362253154848e-51
1A16,A,rate~wcnSC,wcnSC,-1.49988560007563,0.122122871354586,-12.2817747686319,5.44190818581321e-30
1A16,A,rate~wcnSC+RSA,(Intercept),1.20711237658473,0.272024455694411,4.43751416946416,1.15404577985251e-05
1A16,A,rate~wcnSC+RSA,wcnSC,-0.387603921172315,0.141672911380218,-2.7359070791739,0.00647482415067304
1A16,A,rate~wcnSC+RSA,RSA,2.71701805615537,0.228830128328232,11.8735154151472,2.29025202517849e-28
